Trial,Value,num_preprocess_layers,num_postprocess_layers,preprocess_size,postprocess_size,num_heads_0,num_heads_1,dropout_rate_0,dropout_rate_1,dropout_rate_2,dropout_rate_3,dropout_rate_4,dropout_rate_5,dropout_rate_6,dropout_rate_7,dropout_rate_8,dropout_rate_9,dropout_rate_10,dropout_rate_11,dropout_rate_12,use_batch_norm_0,use_batch_norm_1,use_batch_norm_2,use_batch_norm_3,use_batch_norm_4,use_batch_norm_5,use_batch_norm_6,use_batch_norm_7,use_batch_norm_8,use_batch_norm_9,use_batch_norm_10,use_batch_norm_11,use_batch_norm_12
32,0.03268216550350189,9,2,128,256,18,26,0.016554289292614533,0.000734326460520282,0.028136681574460663,0.019823515211867895,0.06600107672429888,0.09378664771163965,0.026680367229620194,0.08790149180574705,0.03234257770995766,0.053138141994633424,0.03704210617367394,0.044217242298517936,0.030693636313413323,True,True,True,True,True,True,True,True,True,True,True,True,True
33,0.03259708359837532,9,2,128,256,18,22,0.005141250409399872,0.01190583574839417,0.038844178725565025,0.025734459160488443,0.06136846108428556,0.08530971162882889,0.03963811816923935,0.09306610067187415,0.046632441612450434,0.031738231220444384,0.04528692177250862,0.02571798561154733,0.04371548163170779,True,True,True,True,True,True,True,True,True,True,True,True,True
34,0.032341182231903076,9,2,128,256,16,32,0.0006988406391409128,0.021221077054329608,0.014295796748024085,0.0130404751894845,0.07198434295622275,0.08834390791064409,0.03261088515817542,0.08799003369244739,0.035417725299539043,0.04280115967443933,0.02944359693467932,0.019578110269716627,0.02561089154875119,True,True,True,True,True,True,True,True,True,True,True,True,True
35,0.03209923952817917,9,2,64,128,20,24,0.029994997266322654,0.005563721384833806,0.03142317863535729,0.022667759841789058,0.052546488921590105,0.09465733523786626,0.016502478076144377,0.08392790215157281,0.041551744419462404,0.03746691935644141,0.05426333244030547,0.028005146998685004,0.007657768344603817,True,True,True,True,True,True,True,True,True,True,True,True,True
36,0.03222782537341118,9,2,128,256,22,26,0.02042668621739801,0.014385944273020042,0.02370549402390354,0.004954096975338191,0.03694168541985054,0.08083456213942838,0.04394961430139302,0.07143316129734523,0.02532284307370512,0.052259250977029575,0.045811632709213845,0.005433821582033167,0.016460088287398186,True,True,True,True,True,True,True,True,True,True,True,True,True
37,0.032680828124284744,9,2,256,64,20,18,0.00960178214686809,0.03401964673478819,0.0422693229230587,0.01582313473373474,0.05959882676154682,0.08746370584194758,0.05459186490476946,0.08057742601151394,0.014348054581386493,0.042743803844426394,0.05742150128032936,0.04724444333507474,0.02196237015547174,True,True,True,True,True,True,True,True,True,True,True,True,True
38,0.032939743250608444,9,2,64,128,24,26,0.015062686410529689,0.004557905343628819,0.029223850371742632,0.03476118513985592,0.04601948225505346,0.07223757516255107,0.023610731730391646,0.06345993587038667,0.029705498297177994,0.046569554836013986,0.022672450208913557,0.03365434465883265,0.006382882550215137,True,True,True,True,True,True,True,True,True,True,True,True,True
39,0.031911592930555344,9,2,128,256,18,28,0.006149954787148951,0.029706727071854754,0.06643019759453037,0.021344204563894797,0.0550369932141793,0.0960914730070529,0.01010647380912615,0.058610097430418576,0.051358194136211927,0.0364426295701451,0.033502177499949014,0.01692175028017614,0.03311672187624333,True,True,True,True,True,True,True,True,True,True,True,True,True
40,0.031852975487709045,9,2,128,256,30,30,0.027441527362541393,0.028977332079699047,0.06930742249031001,0.009032489822267342,0.052699136715447834,0.0802015218405648,0.009798211035244739,0.05667245651122052,0.055876253695010036,0.028128407241133815,0.031123338909129408,0.004584377095937994,0.013385354205167718,True,True,True,True,True,True,True,True,True,True,True,True,True
41,0.031745459884405136,9,2,128,256,26,30,0.02611052231428041,0.02944250533506741,0.07006031318259105,0.00885378711427618,0.051507287706128536,0.07950407036332133,0.009088035140037302,0.058336280639270634,0.056480515654234106,0.02832305817882159,0.03191743517440981,0.0009566914827893215,0.012058977862941947,True,True,True,True,True,True,True,True,True,True,True,True,True
